6731: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 132, identificador: 65
6742: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 133, identificador: 65
6753: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 134, identificador: 65
6753: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 135, identificador: 65
6764: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 136, identificador: 65
6774: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 137, identificador: 65
6775: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 138, identificador: 65
6786: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 139, identificador: 65
6796: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 140, identificador: 65
6797: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 141, identificador: 65
6807: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 142, identificador: 65
6818: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 143, identificador: 65
6818: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 144, identificador: 65
6829: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 145, identificador: 65
6840: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 146, identificador: 65
6840: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 147, identificador: 65
6851: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 148, identificador: 65
6851: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 149, identificador: 65
6862: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 150, identificador: 65
6873: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 151, identificador: 65
6873: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 152, identificador: 65
6884: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 153, identificador: 65
6894: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 154, identificador: 65
6895: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 155, identificador: 65
6906: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 156, identificador: 65
6916: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 157, identificador: 65
6917: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 158, identificador: 65
